sl_no,gender,age,address,Medu,Fedu,Mjob,Fjob,famsup,paid,activities,internet,ssc_p,ssc_b,hsc_p,hsc_b,hsc_s,degree_p,degree_t,workex,etest_p,specialisation,mba_p,status,salary
1,M,23,U,4,4,at_home,teacher,no,no,no,no,67.0,State,91.0,State,Commerce,58.0,Sci&Tech,No,55.0,Mkt&HR,78,Not Placed,
2,M,19,U,1,1,at_home,other,yes,no,no,yes,79.33,State,78.33,Central,Science,77.48,Sci&Tech,Yes,86.5,Mkt&Fin,80,Placed,550000.0
3,M,19,U,1,1,at_home,other,no,yes,no,yes,65.0,Private,68.0,Private,Arts,64.0,Comm&Mgmt,No,75.0,Mkt&Fin,77,Placed,356150.0
4,M,21,U,4,2,health,services,yes,yes,yes,yes,56.0,Central,52.0,State,Science,52.0,Sci&Tech,No,66.0,Mkt&HR,50,Not Placed,
5,M,22,U,3,3,other,other,yes,yes,no,no,85.8,Private,73.6,Central,Commerce,73.3,Comm&Mgmt,No,96.8,Mkt&Fin,86,Placed,530515.0
6,M,19,U,4,3,services,other,yes,yes,yes,yes,55.0,Private,49.8,State,Science,67.25,Sci&Tech,Yes,55.0,Mkt&Fin,63,Not Placed,
7,F,19,U,2,2,other,other,no,no,no,yes,46.0,Central,49.2,State,Commerce,79.0,Comm&Mgmt,No,74.28,Mkt&Fin,59,Placed,411986.0
8,M,18,U,4,4,other,teacher,yes,no,no,no,82.0,State,64.0,State,Science,66.0,Sci&Tech,Yes,67.0,Mkt&Fin,83,Placed,409700.0
9,M,19,U,3,2,services,other,yes,yes,no,yes,73.0,State,79.0,Central,Commerce,72.0,Comm&Mgmt,No,91.34,Mkt&Fin,51,Placed,400227.0
10,M,21,U,3,4,other,other,yes,yes,yes,yes,58.0,Private,70.0,State,Commerce,61.0,Comm&Mgmt,No,54.0,Mkt&Fin,67,Not Placed,
11,M,18,U,4,4,teacher,health,yes,yes,no,yes,58.0,State,61.0,Central,Commerce,60.0,Comm&Mgmt,Yes,62.0,Mkt&HR,53,Not Placed,
12,M,18,U,2,1,services,other,yes,no,yes,yes,69.6,State,68.4,Central,Commerce,78.3,Comm&Mgmt,Yes,60.0,Mkt&Fin,59,Placed,355560.0
13,F,21,U,4,4,health,services,yes,yes,yes,yes,47.0,Private,55.0,Central,Science,65.0,Comm&Mgmt,No,62.0,Mkt&HR,92,Not Placed,
14,F,22,U,4,3,teacher,other,yes,yes,no,yes,77.0,State,87.0,Central,Commerce,59.0,Comm&Mgmt,No,68.0,Mkt&Fin,67,Not Placed,
15,M,20,U,2,2,other,other,yes,no,no,yes,62.0,State,47.0,Central,Commerce,50.0,Comm&Mgmt,No,76.0,Mkt&HR,52,Not Placed,
16,F,18,U,4,4,health,other,yes,no,no,yes,65.0,Private,75.0,Central,Commerce,69.0,Comm&Mgmt,Yes,72.0,Mkt&Fin,88,Placed,440136.0
17,M,19,U,4,4,services,services,yes,yes,yes,yes,63.0,Private,66.2,Central,Commerce,65.6,Comm&Mgmt,Yes,60.0,Mkt&Fin,54,Not Placed,
18,F,20,U,3,3,other,other,yes,no,yes,no,55.0,Central,67.0,State,Commerce,64.0,Comm&Mgmt,No,60.0,Mkt&Fin,89,Not Placed,
19,F,21,U,3,2,services,services,yes,no,yes,yes,63.0,Central,66.0,Central,Commerce,64.0,Comm&Mgmt,No,68.0,Mkt&HR,62,Not Placed,
20,M,19,U,4,3,health,other,no,yes,yes,yes,60.0,Central,67.0,Central,Arts,70.0,Comm&Mgmt,Yes,50.48,Mkt&Fin,82,Placed,383246.0
21,M,19,U,4,3,teacher,other,no,no,no,yes,62.0,Central,65.0,State,Commerce,66.0,Comm&Mgmt,No,50.0,Mkt&HR,58,Not Placed,
22,F,20,U,4,4,health,health,yes,yes,no,yes,79.0,Private,76.0,Central,Commerce,85.0,Comm&Mgmt,No,95.0,Mkt&Fin,52,Placed,543640.0
23,F,21,U,4,2,teacher,other,no,no,yes,yes,69.8,Central,60.8,Central,Science,72.23,Sci&Tech,No,55.53,Mkt&HR,83,Placed,355862.0
24,F,21,U,2,2,other,other,yes,no,yes,yes,77.4,State,60.0,Private,Science,64.74,Sci&Tech,Yes,92.0,Mkt&Fin,53,Placed,409425.0
25,M,18,R,2,4,services,health,yes,yes,yes,yes,76.5,Private,97.7,Private,Science,78.86,Sci&Tech,No,97.4,Mkt&Fin,70,Placed,534215.0
26,F,18,U,2,2,services,services,yes,yes,no,yes,52.58,State,54.6,Private,Commerce,50.2,Comm&Mgmt,Yes,76.0,Mkt&Fin,55,Not Placed,
27,M,20,U,2,2,other,other,yes,yes,no,yes,71.0,State,79.0,Private,Commerce,66.0,Comm&Mgmt,Yes,94.0,Mkt&Fin,83,Placed,503086.0
28,M,18,U,4,2,health,services,no,yes,no,yes,63.0,State,67.0,Private,Commerce,66.0,Comm&Mgmt,No,68.0,Mkt&HR,84,Placed,312963.0
29,M,19,U,3,4,services,other,yes,no,yes,yes,76.76,Central,76.5,Central,Commerce,67.5,Comm&Mgmt,Yes,73.35,Mkt&Fin,52,Not Placed,
30,M,21,U,4,4,teacher,teacher,yes,yes,yes,yes,62.0,Private,67.0,Central,Commerce,58.0,Comm&Mgmt,No,77.0,Mkt&Fin,60,Not Placed,
31,F,20,U,4,4,health,services,yes,yes,no,yes,64.0,State,73.5,Private,Commerce,73.0,Comm&Mgmt,No,52.0,Mkt&HR,84,Placed,365281.0
32,F,20,U,4,4,services,services,yes,no,yes,yes,67.0,State,53.0,Private,Science,65.0,Sci&Tech,No,64.0,Mkt&HR,56,Not Placed,
33,F,23,R,4,3,teacher,at_home,yes,no,yes,yes,61.0,Private,81.0,Central,Commerce,66.4,Comm&Mgmt,No,50.89,Mkt&HR,82,Not Placed,
34,F,18,U,3,3,other,other,no,no,yes,yes,87.0,Central,65.0,Central,Science,81.0,Comm&Mgmt,Yes,88.0,Mkt&Fin,67,Placed,525835.0
35,M,18,U,3,2,other,other,yes,yes,no,yes,62.0,Central,51.0,State,Science,52.0,Others,No,68.44,Mkt&HR,55,Not Placed,
36,F,20,U,2,3,other,other,yes,no,yes,no,69.0,Central,78.0,Private,Commerce,72.0,Comm&Mgmt,No,71.0,Mkt&HR,50,Not Placed,
37,M,21,U,4,3,teacher,services,yes,no,yes,yes,51.0,State,44.0,State,Commerce,57.0,Comm&Mgmt,No,64.0,Mkt&Fin,61,Placed,222324.0
38,F,21,R,4,4,other,teacher,yes,no,yes,yes,79.0,State,76.0,State,Science,65.6,Sci&Tech,No,58.0,Mkt&HR,76,Not Placed,
39,F,19,R,3,4,services,health,yes,yes,yes,yes,73.0,Private,58.0,Central,Science,66.0,Comm&Mgmt,No,53.7,Mkt&HR,76,Not Placed,
40,M,20,R,2,2,at_home,other,yes,yes,yes,no,81.0,Central,68.0,Private,Science,64.0,Sci&Tech,No,93.0,Mkt&Fin,95,Placed,471526.0
41,F,20,U,2,2,other,other,yes,no,yes,yes,78.0,Central,77.0,State,Commerce,80.0,Comm&Mgmt,No,60.0,Mkt&Fin,71,Placed,368616.0
42,F,21,U,4,4,teacher,other,yes,no,no,yes,74.0,State,63.16,Central,Commerce,65.0,Comm&Mgmt,Yes,65.0,Mkt&HR,64,Not Placed,
43,M,21,U,4,4,services,teacher,yes,no,yes,yes,49.0,Private,39.0,Private,Science,65.0,Others,No,63.0,Mkt&Fin,51,Not Placed,
44,M,20,U,2,2,services,services,yes,no,no,yes,87.0,State,87.0,Private,Commerce,68.0,Comm&Mgmt,No,95.0,Mkt&HR,64,Placed,403191.0
45,F,20,U,2,2,other,at_home,no,no,yes,yes,77.0,Private,73.0,Private,Commerce,81.0,Comm&Mgmt,Yes,89.0,Mkt&Fin,80,Placed,550000.0
46,F,22,U,4,3,other,other,yes,yes,yes,yes,76.0,State,64.0,State,Science,72.0,Sci&Tech,No,58.0,Mkt&HR,91,Placed,378171.0
47,F,23,U,3,3,other,services,yes,no,no,yes,70.89,Private,71.98,State,Science,65.6,Comm&Mgmt,No,68.0,Mkt&HR,78,Placed,307223.0
48,M,18,U,4,3,health,services,no,no,yes,yes,63.0,Central,60.0,State,Commerce,57.0,Comm&Mgmt,Yes,78.0,Mkt&Fin,65,Not Placed,
49,M,18,U,4,2,teacher,other,yes,yes,no,no,63.0,Central,62.0,Private,Commerce,68.0,Comm&Mgmt,No,64.0,Mkt&Fin,73,Placed,358433.0
50,F,21,U,4,4,services,teacher,yes,no,yes,yes,50.0,State,37.0,Private,Arts,52.0,Others,No,65.0,Mkt&HR,59,Not Placed,
51,F,18,U,2,2,services,services,yes,yes,no,yes,75.2,State,73.2,Private,Science,68.4,Comm&Mgmt,No,65.0,Mkt&HR,95,Placed,386145.0
52,M,22,U,4,2,health,other,yes,yes,no,yes,54.4,Central,61.12,Central,Commerce,56.2,Comm&Mgmt,No,67.0,Mkt&HR,85,Not Placed,
53,F,18,U,4,2,health,health,no,no,no,no,40.89,State,45.83,State,Commerce,53.0,Comm&Mgmt,No,71.2,Mkt&HR,92,Not Placed,
54,M,21,U,4,4,services,services,yes,yes,no,yes,80.0,Private,70.0,Central,Science,72.0,Sci&Tech,No,87.0,Mkt&HR,71,Placed,424481.0
55,F,23,U,3,3,other,other,no,yes,no,yes,74.0,Central,60.0,Private,Science,69.0,Comm&Mgmt,No,78.0,Mkt&HR,65,Not Placed,
56,M,19,U,2,1,other,other,no,yes,yes,yes,60.4,State,66.6,Private,Science,65.0,Comm&Mgmt,No,71.0,Mkt&HR,67,Placed,286374.0
57,M,23,U,4,3,services,services,yes,yes,yes,yes,63.0,Private,71.4,Central,Commerce,61.4,Comm&Mgmt,No,68.0,Mkt&Fin,55,Not Placed,
58,M,21,U,4,4,teacher,health,yes,no,yes,no,68.0,Central,76.0,Private,Commerce,74.0,Comm&Mgmt,No,80.0,Mkt&Fin,84,Placed,468512.0
59,M,21,U,1,2,other,at_home,yes,no,yes,yes,74.0,State,62.0,Central,Science,68.0,Comm&Mgmt,No,74.0,Mkt&Fin,92,Placed,423780.0
60,M,20,U,4,2,services,other,yes,no,no,yes,52.6,Central,65.58,State,Science,72.11,Sci&Tech,No,57.6,Mkt&Fin,95,Placed,427761.0
61,M,21,R,4,4,health,teacher,yes,no,yes,no,74.0,State,70.0,Central,Science,72.0,Comm&Mgmt,Yes,60.0,Mkt&Fin,68,Placed,345199.0
62,M,18,U,1,1,services,services,yes,no,yes,yes,84.2,Private,73.4,Private,Commerce,66.89,Comm&Mgmt,No,61.6,Mkt&Fin,57,Not Placed,
63,F,19,U,1,2,other,services,no,no,yes,yes,86.5,State,64.2,Central,Science,67.4,Sci&Tech,No,59.0,Mkt&Fin,61,Not Placed,
64,M,18,U,4,3,teacher,health,yes,yes,yes,yes,61.0,Central,70.0,Central,Commerce,64.0,Comm&Mgmt,No,68.5,Mkt&HR,94,Not Placed,
65,M,21,U,4,3,services,services,no,no,yes,yes,80.0,Central,73.0,State,Commerce,75.0,Comm&Mgmt,No,61.0,Mkt&Fin,92,Placed,416314.0
66,M,18,U,4,3,teacher,services,yes,no,yes,yes,54.0,Private,47.0,Private,Science,57.0,Comm&Mgmt,No,89.69,Mkt&HR,87,Placed,383130.0
67,M,23,U,4,4,other,services,yes,no,yes,yes,83.0,State,74.0,Private,Science,66.0,Comm&Mgmt,No,68.92,Mkt&HR,51,Not Placed,
